Reference, Value, Footprint, Datasheet, e44.com, SUPPLIER, SUPPLIER PART NO., Comment
amp_left1,LM3886T,lib:TO220-11,,LM3886T,,,
U1,PCM5122,Housings_SSOP:TSSOP-28_4.4x9.7mm_Pitch0.65mm,,,Farnell,2307931,
R2,10k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,MA10K0,,,
C8,100nf,Capacitors_ThroughHole:Capacitor6MMDiscRM5,,CC5100NF,,,
C3,100nf,Capacitors_ThroughHole:Capacitor6MMDiscRM5,,CC5100NF,,,
C4,10uf,Discret:C1V7,,CHR10100,,,
C7,10uf,Discret:C1V7,,CHR10100,,,
amp_left_pot1,10k,Discret:RV2X4,,CA9V10K,,,
amp_left_spk1,Terminal_block_2,Connect:AK300-2,,SCREW02BL,,,
C2,220pf,Capacitors_ThroughHole:Capacitor6MMDiscRM5,,CC5220PF/500,,,
R1,1k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,MA1K0,,,
amp_left_Rfdbk1,20k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,MA20K0,,,
amp_left_Rin1,1k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,MA1K0,,,
R4,10k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,MA10K0,,,
C16,100nf,Capacitors_ThroughHole:Capacitor6MMDiscRM5,,CC5100NF,,,
C11,100nf,Capacitors_ThroughHole:Capacitor6MMDiscRM5,,CC5100NF,,,
C15,10uf,Discret:C1V7,,CHR10100,,,
amp_right_pot1,10k,Discret:RV2X4,,CA9V10K,,,
amp_right_spk1,Terminal_block_2,Connect:AK300-2,,SCREW02BL,,,
C10,220pf,Capacitors_ThroughHole:Capacitor6MMDiscRM5,,CC5220PF/500,,,
R3,1k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,MA1K0,,,
amp_right_Rfdbk1,20k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,MA20K0,,,
amp_right_Rin1,1k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,MA1K0,,,
TB_main_input1,Terminal_block_3,Connect:AK300-3,,SCREW03BL,,,
C17,100nf,Capacitors_ThroughHole:Capacitor6MMDiscRM5,,CCM100NF,,,
D2,400v 6a p6,Diodes_ThroughHole:Diode_P600_Vertical_KathodeUp,,P600G,,,
D1,400v 6a p6,Diodes_ThroughHole:Diode_P600_Vertical_KathodeUp,,P600G,,,
R5,10_5W,Resistors_ThroughHole:Resistor_Horizontal_RM25mm,,vrac,,,
TB_transfo_primary1,Terminal_block_2,Connect:AK300-2,,SCREW02BL,,,
TB_transfo_secondary1,Terminal_block_4,Connect:AK300-4,,2xSCREW02BL,,,
